State,Facility,Number,Level 1,Level 2,Level 3,Not Convicted
California,CACFSHA - CCF-SHAFTER,8,50%,0%,38%,13%
California,CACHUCK - CHUCKWALLA STATE PRISON,262,45%,12%,10%,33%
California,CACTYCA - CALIFORNIA CITY CORECTIONS CENTER,"1,505",28%,21%,42%,10%
California,CADCCAL - CDC CALIPATRIA IHP,7,71%,14%,14%,0%
California,CADCCEN - CDC CENTINELA IHP,6,50%,0%,17%,33%
California,CADCGLE - GLEN HELEN DETENTION CTR.,1,0%,0%,0%,100%
California,CADESVI - DESERT VIEW,2,0%,0%,50%,50%
California,CAINTEA - CALIF. INST. FOR MEN/WEST,116,38%,6%,21%,35%
California,CAINTRC - CALIF.INST.RECEPTION CTR.,28,36%,7%,36%,21%
California,CAINTWE - CALIF. INST. FOR MEN/EAST,199,30%,4%,24%,42%
California,CAINTWO - CALIF. INST. FOR WOMEN,37,27%,8%,11%,54%
California,CAIRONW - IRONWOOD STATE PRISON,93,37%,10%,5%,48%
California,CALAVCA - CALAVERA COUNTY JAIL,26,0%,4%,19%,77%
California,"CAMENCE - CALIF. MEN COLONY, EAST",67,58%,6%,10%,25%
California,"CAMENCW - CALIF. MEN COLONY, WEST",405,23%,5%,7%,64%
California,CAMFVAC - CMF-VACAVILLE,35,57%,9%,26%,9%
California,CAPITCH - PITCHESS HONOR RANCHO,122,16%,10%,11%,62%
California,CARCMEN - CALIF. REHAB. CTR./MEN,108,48%,7%,13%,31%
